DATE,VISITING TEAM,HOME TEAM,TIME
"SAT OCT 13, 2007",WASHINGTON,BUFFALO,7:00 PM ET
,,,
"SAT OCT 13, 2007",PITTSBURGH,TORONTO,7:00 PM ET
,,,
"SAT OCT 13, 2007",CAROLINA,MONTREAL,7:00 PM ET
,,,
"SAT OCT 13, 2007",OTTAWA,NY RANGERS,7:00 PM ET
,,,
"SAT OCT 13, 2007",NY ISLANDERS,PHILADELPHIA,7:00 PM ET
,,,
"SAT OCT 13, 2007",NEW JERSEY,ATLANTA,7:00 PM ET
,,,
"SAT OCT 13, 2007",TAMPA BAY,FLORIDA,7:00 PM ET
,,,
"SAT OCT 13, 2007",CALGARY,NASHVILLE,8:00 PM ET
,,,
"SAT OCT 13, 2007",DALLAS,CHICAGO,8:30 PM ET
,,,
"SAT OCT 13, 2007",COLUMBUS,COLORADO,9:00 PM ET
,,,
"SAT OCT 13, 2007",EDMONTON,VANCOUVER,10:00 PM ET
,,,
"SAT OCT 13, 2007",MINNESOTA,PHOENIX,10:00 PM ET
,,,
"SAT OCT 13, 2007",BOSTON,SAN JOSE,10:30 PM ET
,,,
"SUN OCT 14, 2007",MINNESOTA,ANAHEIM,8:00 PM ET
,,,
"SUN OCT 14, 2007",DETROIT,LOS ANGELES,8:00 PM ET
,,,
"MON OCT 15, 2007",TORONTO,BUFFALO,7:00 PM ET
,,,
"MON OCT 15, 2007",SAN JOSE,VANCOUVER,10:00 PM ET
,,,
"MON OCT 15, 2007",DETROIT,ANAHEIM,10:00 PM ET
,,,
"TUE OCT 16, 2007",ATLANTA,PHILADELPHIA,7:00 PM ET
,,,
"TUE OCT 16, 2007",FLORIDA,MONTREAL,7:30 PM ET
,,,
"TUE OCT 16, 2007",CALGARY,COLORADO,9:00 PM ET
,,,
"TUE OCT 16, 2007",MINNESOTA,LOS ANGELES,10:30 PM ET
,,,
"WED OCT 17, 2007",DALLAS,COLUMBUS,7:00 PM ET
,,,
"WED OCT 17, 2007",NEW JERSEY,PITTSBURGH,7:30 PM ET
,,,
"WED OCT 17, 2007",ST. LOUIS,CHICAGO,8:30 PM ET
,,,
"WED OCT 17, 2007",NASHVILLE,ANAHEIM,10:00 PM ET
,,,
"THU OCT 18, 2007",TAMPA BAY,BOSTON,7:00 PM ET
,,,
"THU OCT 18, 2007",NEW JERSEY,PHILADELPHIA,7:00 PM ET
,,,
"THU OCT 18, 2007",NY ISLANDERS,WASHINGTON,7:00 PM ET
,,,
"THU OCT 18, 2007",NY RANGERS,ATLANTA,7:00 PM ET
,,,
"THU OCT 18, 2007",FLORIDA,TORONTO,7:30 PM ET
,,,
"THU OCT 18, 2007",MONTREAL,OTTAWA,7:30 PM ET
,,,
"THU OCT 18, 2007",LOS ANGELES,CALGARY,9:00 PM ET
,,,
"THU OCT 18, 2007",EDMONTON,PHOENIX,10:00 PM ET
,,,
"THU OCT 18, 2007",DETROIT,SAN JOSE,10:30 PM ET
,,,
"FRI OCT 19, 2007",COLUMBUS,BUFFALO,7:30 PM ET
,,,
"FRI OCT 19, 2007",CAROLINA,PITTSBURGH,7:30 PM ET
,,,
"FRI OCT 19, 2007",COLORADO,CHICAGO,8:30 PM ET
,,,
"FRI OCT 19, 2007",LOS ANGELES,VANCOUVER,10:00 PM ET
,,,
"SAT OCT 20, 2007",NY RANGERS,BOSTON,4:00 PM ET
,,,
"SAT OCT 20, 2007",CHICAGO,TORONTO,7:00 PM ET
,,,
"SAT OCT 20, 2007",BUFFALO,MONTREAL,7:00 PM ET
,,,
"SAT OCT 20, 2007",FLORIDA,OTTAWA,7:00 PM ET
,,,
"SAT OCT 20, 2007",NEW JERSEY,NY ISLANDERS,7:00 PM ET
,,,
"SAT OCT 20, 2007",CAROLINA,PHILADELPHIA,7:00 PM ET
,,,
"SAT OCT 20, 2007",PITTSBURGH,WASHINGTON,7:00 PM ET
,,,
"SAT OCT 20, 2007",ATLANTA,TAMPA BAY,7:30 PM ET
,,,
"SAT OCT 20, 2007",ANAHEIM,DALLAS,8:00 PM ET
,,,
"SAT OCT 20, 2007",MINNESOTA,ST. LOUIS,8:30 PM ET
,,,
"SAT OCT 20, 2007",EDMONTON,CALGARY,10:00 PM ET
,,,
"SAT OCT 20, 2007",DETROIT,PHOENIX,10:00 PM ET
,,,
"SAT OCT 20, 2007",NASHVILLE,SAN JOSE,10:30 PM ET
,,,
"SUN OCT 21, 2007",VANCOUVER,COLUMBUS,5:00 PM ET
,,,
"SUN OCT 21, 2007",COLORADO,MINNESOTA,7:00 PM ET
,,,
"MON OCT 22, 2007",VANCOUVER,CAROLINA,7:00 PM ET
,,,
"MON OCT 22, 2007",BOSTON,MONTREAL,7:30 PM ET
,,,
"MON OCT 22, 2007",SAN JOSE,CALGARY,9:00 PM ET
,,,
"TUE OCT 23, 2007",NY RANGERS,PITTSBURGH,7:00 PM ET
,,,
"TUE OCT 23, 2007",ATLANTA,TORONTO,7:30 PM ET
,,,
"TUE OCT 23, 2007",COLUMBUS,CHICAGO,8:30 PM ET
,,,
"TUE OCT 23, 2007",ANAHEIM,ST. LOUIS,8:30 PM ET
,,,
"TUE OCT 23, 2007",COLORADO,EDMONTON,9:30 PM ET
,,,
"TUE OCT 23, 2007",NASHVILLE,LOS ANGELES,10:30 PM ET
,,,
"WED OCT 24, 2007",TAMPA BAY,WASHINGTON,7:00 PM ET
,,,
"WED OCT 24, 2007",BUFFALO,CAROLINA,7:00 PM ET
,,,
"WED OCT 24, 2007",PHILADELPHIA,FLORIDA,7:30 PM ET
,,,
"WED OCT 24, 2007",VANCOUVER,DETROIT,7:30 PM ET
,,,
"WED OCT 24, 2007",MINNESOTA,CALGARY,9:00 PM ET
,,,
"THU OCT 25, 2007",CHICAGO,BOSTON,7:00 PM ET
,,,
"THU OCT 25, 2007",NEW JERSEY,NY RANGERS,7:00 PM ET
,,,
"THU OCT 25, 2007",ST. LOUIS,COLUMBUS,7:00 PM ET
,,,
"THU OCT 25, 2007",TORONTO,PITTSBURGH,7:30 PM ET
,,,
"THU OCT 25, 2007",PHILADELPHIA,TAMPA BAY,7:30 PM ET
,,,
"THU OCT 25, 2007",ATLANTA,NASHVILLE,8:00 PM ET
,,,
"THU OCT 25, 2007",MINNESOTA,EDMONTON,9:00 PM ET
,,,
"THU OCT 25, 2007",PHOENIX,ANAHEIM,10:00 PM ET
,,,
"THU OCT 25, 2007",DALLAS,LOS ANGELES,10:30 PM ET
,,,
"FRI OCT 26, 2007",VANCOUVER,WASHINGTON,7:00 PM ET
,,,
"FRI OCT 26, 2007",MONTREAL,CAROLINA,7:00 PM ET
,,,
"FRI OCT 26, 2007",BUFFALO,FLORIDA,7:30 PM ET
,,,
"FRI OCT 26, 2007",SAN JOSE,DETROIT,7:30 PM ET
,,,
"FRI OCT 26, 2007",COLORADO,CALGARY,9:00 PM ET
,,,
"SAT OCT 27, 2007",PHILADELPHIA,BOSTON,4:00 PM ET
,,,
"SAT OCT 27, 2007",SAN JOSE,COLUMBUS,5:30 PM ET
,,,
"SAT OCT 27, 2007",OTTAWA,NEW JERSEY,7:00 PM ET
,,,
"SAT OCT 27, 2007",CAROLINA,NY ISLANDERS,7:00 PM ET
,,,
"SAT OCT 27, 2007",TORONTO,NY RANGERS,7:00 PM ET
,,,
"SAT OCT 27, 2007",MONTREAL,PITTSBURGH,7:00 PM ET
,,,
"SAT OCT 27, 2007",BUFFALO,TAMPA BAY,7:30 PM ET
,,,
"SAT OCT 27, 2007",FLORIDA,NASHVILLE,8:00 PM ET
,,,
"SAT OCT 27, 2007",ATLANTA,CHICAGO,8:30 PM ET
,,,
"SAT OCT 27, 2007",WASHINGTON,ST. LOUIS,8:30 PM ET
,,,
"SAT OCT 27, 2007",DALLAS,PHOENIX,10:00 PM ET
,,,
"SAT OCT 27, 2007",EDMONTON,LOS ANGELES,10:00 PM ET
,,,
"SUN OCT 28, 2007",MINNESOTA,COLORADO,3:00 PM ET
,,,
"SUN OCT 28, 2007",EDMONTON,ANAHEIM,8:00 PM ET
,,,
"SUN OCT 28, 2007",DETROIT,VANCOUVER,10:30 PM ET
,,,
"MON OCT 29, 2007",TAMPA BAY,NY RANGERS,7:00 PM ET
,,,
"MON OCT 29, 2007",WASHINGTON,TORONTO,7:30 PM ET
,,,
"MON OCT 29, 2007",SAN JOSE,DALLAS,8:00 PM ET
,,,
"TUE OCT 30, 2007",PITTSBURGH,MINNESOTA,7:00 PM ET
,,,
"TUE OCT 30, 2007",ATLANTA,MONTREAL,7:30 PM ET
,,,
"TUE OCT 30, 2007",PHOENIX,ST. LOUIS,8:30 PM ET
,,,
"TUE OCT 30, 2007",NASHVILLE,CALGARY,9:30 PM ET
,,,
"TUE OCT 30, 2007",DETROIT,EDMONTON,9:30 PM ET
,,,
"WED OCT 31, 2007",TAMPA BAY,NEW JERSEY,7:00 PM ET
,,,
"WED OCT 31, 2007",CAROLINA,FLORIDA,7:30 PM ET
,,,
"WED OCT 31, 2007",CHICAGO,DALLAS,8:30 PM ET
,,,
"WED OCT 31, 2007",COLUMBUS,LOS ANGELES,10:30 PM ET
,,,
"THU NOV 1, 2007",BUFFALO,BOSTON,7:00 PM ET
,,,
"THU NOV 1, 2007",TAMPA BAY,NY ISLANDERS,7:00 PM ET
,,,
"THU NOV 1, 2007",WASHINGTON,NY RANGERS,7:00 PM ET
,,,
"THU NOV 1, 2007",PHILADELPHIA,MONTREAL,7:30 PM ET
,,,
"THU NOV 1, 2007",ATLANTA,OTTAWA,7:30 PM ET
,,,
"THU NOV 1, 2007",ST. LOUIS,MINNESOTA,8:00 PM ET
,,,
"THU NOV 1, 2007",DETROIT,CALGARY,8:00 PM ET
,,,
"THU NOV 1, 2007",PITTSBURGH,COLORADO,9:00 PM ET
,,,
"THU NOV 1, 2007",COLUMBUS,ANAHEIM,10:00 PM ET
,,,
"THU NOV 1, 2007",NASHVILLE,VANCOUVER,11:00 PM ET
,,,
"FRI NOV 2, 2007",TORONTO,NEW JERSEY,7:00 PM ET
,,,
"FRI NOV 2, 2007",PHILADELPHIA,WASHINGTON,7:00 PM ET
,,,
"FRI NOV 2, 2007",FLORIDA,BUFFALO,7:30 PM ET
,,,
"FRI NOV 2, 2007",PHOENIX,DALLAS,8:30 PM ET
,,,
"FRI NOV 2, 2007",NASHVILLE,EDMONTON,9:00 PM ET
,,,
"FRI NOV 2, 2007",LOS ANGELES,SAN JOSE,10:30 PM ET
,,,
"SAT NOV 3, 2007",TORONTO,MONTREAL,7:00 PM ET
,,,
"SAT NOV 3, 2007",BOSTON,OTTAWA,7:00 PM ET
,,,
"SAT NOV 3, 2007",PITTSBURGH,NY ISLANDERS,7:00 PM ET
,,,
"SAT NOV 3, 2007",NEW JERSEY,NY RANGERS,7:00 PM ET
,,,
"SAT NOV 3, 2007",FLORIDA,CAROLINA,7:00 PM ET
,,,
"SAT NOV 3, 2007",ATLANTA,TAMPA BAY,7:30 PM ET
,,,
"SAT NOV 3, 2007",CALGARY,MINNESOTA,8:00 PM ET
,,,
"SAT NOV 3, 2007",CHICAGO,ST. LOUIS,8:30 PM ET
,,,
"SAT NOV 3, 2007",ANAHEIM,PHOENIX,10:00 PM ET
,,,
"SAT NOV 3, 2007",VANCOUVER,COLORADO,10:00 PM ET
,,,
"SAT NOV 3, 2007",SAN JOSE,LOS ANGELES,10:30 PM ET
,,,
"SUN NOV 4, 2007",ST. LOUIS,COLUMBUS,5:00 PM ET
,,,
"SUN NOV 4, 2007",OTTAWA,BOSTON,7:00 PM ET
,,,
"SUN NOV 4, 2007",NASHVILLE,CHICAGO,7:00 PM ET
,,,
"MON NOV 5, 2007",PITTSBURGH,NEW JERSEY,7:00 PM ET
,,,
"MON NOV 5, 2007",PHILADELPHIA,NY RANGERS,7:00 PM ET
,,,
"MON NOV 5, 2007",WASHINGTON,CAROLINA,7:00 PM ET
,,,
"MON NOV 5, 2007",BUFFALO,MONTREAL,7:30 PM ET
,,,
"MON NOV 5, 2007",TAMPA BAY,FLORIDA,7:30 PM ET
,,,
"MON NOV 5, 2007",EDMONTON,MINNESOTA,8:00 PM ET
,,,
"MON NOV 5, 2007",CALGARY,COLORADO,9:00 PM ET
,,,
"MON NOV 5, 2007",DALLAS,ANAHEIM,10:00 PM ET
,,,
"TUE NOV 6, 2007",NY RANGERS,NY ISLANDERS,7:00 PM ET
,,,
"TUE NOV 6, 2007",WASHINGTON,ATLANTA,7:00 PM ET
,,,
"TUE NOV 6, 2007",TORONTO,OTTAWA,7:30 PM ET
,,,
"WED NOV 7, 2007",BOSTON,BUFFALO,7:00 PM ET
,,,
"WED NOV 7, 2007",PHILADELPHIA,PITTSBURGH,7:00 PM ET
,,,
"WED NOV 7, 2007",FLORIDA,TAMPA BAY,7:30 PM ET
,,,
"WED NOV 7, 2007",NASHVILLE,DETROIT,7:30 PM ET
,,,
"WED NOV 7, 2007",COLUMBUS,CHICAGO,8:30 PM ET
,,,
"WED NOV 7, 2007",EDMONTON,COLORADO,9:30 PM ET
,,,
"WED NOV 7, 2007",PHOENIX,ANAHEIM,10:00 PM ET
,,,
"WED NOV 7, 2007",DALLAS,SAN JOSE,10:30 PM ET
,,,
"THU NOV 8, 2007",PHILADELPHIA,NEW JERSEY,7:00 PM ET
,,,
"THU NOV 8, 2007",PITTSBURGH,NY RANGERS,7:00 PM ET
,,,
"THU NOV 8, 2007",TAMPA BAY,CAROLINA,7:00 PM ET
,,,
"THU NOV 8, 2007",MONTREAL,BOSTON,7:30 PM ET
,,,
"THU NOV 8, 2007",WASHINGTON,OTTAWA,7:30 PM ET
,,,
"THU NOV 8, 2007",VANCOUVER,CALGARY,9:00 PM ET
,,,
"THU NOV 8, 2007",DALLAS,PHOENIX,9:00 PM ET
,,,
"FRI NOV 9, 2007",TORONTO,BUFFALO,7:30 PM ET
,,,
"FRI NOV 9, 2007",ATLANTA,FLORIDA,7:30 PM ET
,,,
"FRI NOV 9, 2007",COLUMBUS,DETROIT,7:30 PM ET
,,,
"FRI NOV 9, 2007",ST. LOUIS,CHICAGO,8:30 PM ET
,,,
"FRI NOV 9, 2007",COLORADO,VANCOUVER,10:00 PM ET
,,,
"FRI NOV 9, 2007",SAN JOSE,ANAHEIM,10:00 PM ET
,,,
"SAT NOV 10, 2007",MONTREAL,OTTAWA,3:00 PM ET
,,,
"SAT NOV 10, 2007",BUFFALO,BOSTON,7:00 PM ET
,,,
"SAT NOV 10, 2007",NY RANGERS,TORONTO,7:00 PM ET
,,,
"SAT NOV 10, 2007",NEW JERSEY,NY ISLANDERS,7:00 PM ET
,,,
"SAT NOV 10, 2007",PITTSBURGH,PHILADELPHIA,7:00 PM ET
,,,
"SAT NOV 10, 2007",TAMPA BAY,WASHINGTON,7:00 PM ET
,,,
"SAT NOV 10, 2007",CAROLINA,ATLANTA,7:00 PM ET
,,,
"SAT NOV 10, 2007",COLUMBUS,NASHVILLE,8:00 PM ET
,,,
"SAT NOV 10, 2007",EDMONTON,CALGARY,10:00 PM ET
,,,
"SAT NOV 10, 2007",DALLAS,LOS ANGELES,10:30 PM ET
,,,
"SAT NOV 10, 2007",PHOENIX,SAN JOSE,10:30 PM ET
,,,
"SUN NOV 11, 2007",DETROIT,CHICAGO,7:00 PM ET
,,,
"SUN NOV 11, 2007",MINNESOTA,COLORADO,8:00 PM ET
,,,
"MON NOV 12, 2007",NY ISLANDERS,PHILADELPHIA,7:00 PM ET
,,,
"MON NOV 12, 2007",NASHVILLE,COLUMBUS,7:00 PM ET
,,,
"MON NOV 12, 2007",NEW JERSEY,PITTSBURGH,7:30 PM ET
,,,
"MON NOV 12, 2007",CAROLINA,FLORIDA,7:30 PM ET
,,,
"MON NOV 12, 2007",PHOENIX,SAN JOSE,10:30 PM ET
,,,
"TUE NOV 13, 2007",FLORIDA,ATLANTA,7:00 PM ET
,,,
"TUE NOV 13, 2007",DETROIT,ST. LOUIS,7:30 PM ET
,,,
"TUE NOV 13, 2007",MONTREAL,TORONTO,7:30 PM ET
,,,
"TUE NOV 13, 2007",MINNESOTA,CALGARY,9:30 PM ET
,,,
"TUE NOV 13, 2007",LOS ANGELES,ANAHEIM,10:00 PM ET
,,,
"WED NOV 14, 2007",NY RANGERS,NEW JERSEY,7:00 PM ET
,,,
"WED NOV 14, 2007",CHICAGO,COLUMBUS,7:00 PM ET
,,,
"WED NOV 14, 2007",CAROLINA,TAMPA BAY,7:30 PM ET
,,,
"WED NOV 14, 2007",SAN JOSE,DALLAS,8:30 PM ET
,,,
"WED NOV 14, 2007",EDMONTON,VANCOUVER,10:00 PM ET
,,,
"THU NOV 15, 2007",TORONTO,BOSTON,7:00 PM ET
,,,
"THU NOV 15, 2007",NY RANGERS,PHILADELPHIA,7:00 PM ET
,,,
"THU NOV 15, 2007",BUFFALO,OTTAWA,7:30 PM ET
,,,
"THU NOV 15, 2007",NY ISLANDERS,PITTSBURGH,7:30 PM ET
,,,
"THU NOV 15, 2007",WASHINGTON,FLORIDA,7:30 PM ET
,,,
"THU NOV 15, 2007",CHICAGO,NASHVILLE,8:00 PM ET
,,,
"THU NOV 15, 2007",MINNESOTA,EDMONTON,9:00 PM ET
,,,
"THU NOV 15, 2007",SAN JOSE,PHOENIX,9:00 PM ET
,,,
"THU NOV 15, 2007",ANAHEIM,LOS ANGELES,10:30 PM ET
,,,
"FRI NOV 16, 2007",NY ISLANDERS,NEW JERSEY,7:00 PM ET
,,,
"FRI NOV 16, 2007",ATLANTA,CAROLINA,7:00 PM ET
,,,
"FRI NOV 16, 2007",MONTREAL,BUFFALO,7:30 PM ET
,,,
"FRI NOV 16, 2007",WASHINGTON,TAMPA BAY,8:00 PM ET
,,,
"FRI NOV 16, 2007",COLUMBUS,ST. LOUIS,8:30 PM ET
,,,
"FRI NOV 16, 2007",COLORADO,DALLAS,8:30 PM ET
,,,
"FRI NOV 16, 2007",MINNESOTA,VANCOUVER,10:00 PM ET
,,,
"SAT NOV 17, 2007",PHOENIX,LOS ANGELES,4:00 PM ET
,,,
"SAT NOV 17, 2007",OTTAWA,TORONTO,7:00 PM ET
,,,
"SAT NOV 17, 2007",BOSTON,MONTREAL,7:00 PM ET
,,,
"SAT NOV 17, 2007",NEW JERSEY,PHILADELPHIA,7:00 PM ET
,,,
"SAT NOV 17, 2007",FLORIDA,CAROLINA,7:00 PM ET
,,,
"SAT NOV 17, 2007",CHICAGO,DETROIT,7:00 PM ET
,,,
"SAT NOV 17, 2007",NY RANGERS,PITTSBURGH,7:30 PM ET
,,,
"SAT NOV 17, 2007",ST. LOUIS,NASHVILLE,8:00 PM ET
,,,
"SAT NOV 17, 2007",CALGARY,EDMONTON,10:00 PM ET
,,,
"SAT NOV 17, 2007",ANAHEIM,SAN JOSE,10:30 PM ET
,,,
"SUN NOV 18, 2007",DETROIT,COLUMBUS,5:00 PM ET
,,,
"SUN NOV 18, 2007",COLORADO,MINNESOTA,6:00 PM ET
,,,
"SUN NOV 18, 2007",CALGARY,VANCOUVER,8:00 PM ET
,,,
"MON NOV 19, 2007",NY ISLANDERS,NY RANGERS,7:00 PM ET
,,,
"MON NOV 19, 2007",FLORIDA,WASHINGTON,7:00 PM ET
,,,
"MON NOV 19, 2007",TAMPA BAY,ATLANTA,7:00 PM ET
,,,
"MON NOV 19, 2007",OTTAWA,MONTREAL,7:30 PM ET
,,,
"MON NOV 19, 2007",NASHVILLE,ST. LOUIS,8:30 PM ET
,,,
"MON NOV 19, 2007",LOS ANGELES,DALLAS,8:30 PM ET
,,,
"TUE NOV 20, 2007",BOSTON,TORONTO,7:00 PM ET
,,,
"TUE NOV 20, 2007",VANCOUVER,EDMONTON,9:00 PM ET
,,,
"TUE NOV 20, 2007",COLORADO,CALGARY,9:30 PM ET
,,,
"WED NOV 21, 2007",MONTREAL,NY ISLANDERS,7:00 PM ET
,,,
"WED NOV 21, 2007",ATLANTA,WASHINGTON,7:00 PM ET
,,,
"WED NOV 21, 2007",PHILADELPHIA,CAROLINA,7:00 PM ET
,,,
"WED NOV 21, 2007",FLORIDA,COLUMBUS,7:00 PM ET
,,,
"WED NOV 21, 2007",OTTAWA,BUFFALO,7:30 PM ET
,,,
"WED NOV 21, 2007",NEW JERSEY,PITTSBURGH,7:30 PM ET
,,,
"WED NOV 21, 2007",NY RANGERS,TAMPA BAY,7:30 PM ET
,,,
"WED NOV 21, 2007",ST. LOUIS,DETROIT,7:30 PM ET
,,,
"WED NOV 21, 2007",VANCOUVER,MINNESOTA,8:00 PM ET
,,,
"WED NOV 21, 2007",ANAHEIM,DALLAS,8:30 PM ET
,,,
"WED NOV 21, 2007",LOS ANGELES,PHOENIX,9:30 PM ET
,,,
"THU NOV 22, 2007",PITTSBURGH,OTTAWA,7:30 PM ET
,,,
"THU NOV 22, 2007",DETROIT,NASHVILLE,8:00 PM ET
,,,
"THU NOV 22, 2007",CHICAGO,CALGARY,9:00 PM ET
,,,
"THU NOV 22, 2007",COLORADO,EDMONTON,9:00 PM ET
,,,
"FRI NOV 23, 2007",NY ISLANDERS,BOSTON,12:00 PM ET
,,,
"FRI NOV 23, 2007",WASHINGTON,PHILADELPHIA,1:00 PM ET
,,,
"FRI NOV 23, 2007",COLUMBUS,MINNESOTA,2:00 PM ET
,,,
"FRI NOV 23, 2007",PHOENIX,ANAHEIM,4:00 PM ET
,,,
"FRI NOV 23, 2007",TAMPA BAY,CAROLINA,7:00 PM ET
,,,
"FRI NOV 23, 2007",MONTREAL,BUFFALO,7:30 PM ET
,,,
"FRI NOV 23, 2007",NEW JERSEY,ATLANTA,7:30 PM ET
,,,
"FRI NOV 23, 2007",NY RANGERS,FLORIDA,7:30 PM ET
,,,
"FRI NOV 23, 2007",VANCOUVER,ST. LOUIS,8:30 PM ET
,,,
"FRI NOV 23, 2007",TORONTO,DALLAS,8:30 PM ET
,,,
"SAT NOV 24, 2007",BUFFALO,MONTREAL,7:00 PM ET
,,,
"SAT NOV 24, 2007",PHILADELPHIA,OTTAWA,7:00 PM ET
,,,
"SAT NOV 24, 2007",BOSTON,NY ISLANDERS,7:00 PM ET
,,,
"SAT NOV 24, 2007",CAROLINA,WASHINGTON,7:00 PM ET
,,,
"SAT NOV 24, 2007",DETROIT,COLUMBUS,7:00 PM ET
,,,
"SAT NOV 24, 2007",TORONTO,PHOENIX,7:00 PM ET
,,,
"SAT NOV 24, 2007",CALGARY,COLORADO,7:00 PM ET
,,,
"SAT NOV 24, 2007",ATLANTA,PITTSBURGH,7:30 PM ET
,,,
"SAT NOV 24, 2007",NEW JERSEY,TAMPA BAY,7:30 PM ET
,,,
"SAT NOV 24, 2007",MINNESOTA,NASHVILLE,8:00 PM ET
